node_id,lat,sd_lat,lon,sd_lon
326039,38.93483,1.763487e-05,-74.94470,1.175763e-05
326543,38.93575,3.596316e-05,-74.94789,3.247362e-05
326572,38.93654,1.760448e-05,-74.94453,1.537211e-05
32660E,38.93913,0.000000e+00,-74.94862,0.000000e+00
326710,38.93665,0.000000e+00,-74.94682,0.000000e+00
3274F4,38.93748,0.000000e+00,-74.94557,0.000000e+00
327749,38.93671,2.043787e-05,-74.94568,1.588003e-05
3282EC,38.93398,1.859249e-05,-74.94686,1.555408e-05
32841A,38.93486,2.215754e-05,-74.94683,1.785199e-05
328CCF,38.93391,2.344975e-05,-74.94454,1.924007e-05
328D0C,38.93759,2.142360e-05,-74.94451,1.254409e-05
328FAF,38.93849,1.969737e-05,-74.94680,1.612836e-05
32909D,38.93399,0.000000e+00,-74.94568,0.000000e+00
339BB0,38.93847,2.449385e-05,-74.94805,2.040184e-05
339CAE,38.93482,3.459701e-05,-74.94800,2.897379e-05
33D76B,38.93394,3.005669e-05,-74.94798,3.569426e-05
33DA3C,38.93574,3.356931e-05,-74.94684,5.281621e-05
3648E1,38.93482,1.909380e-05,-74.94571,2.072671e-05
3765DD,38.93577,2.175002e-05,-74.94448,2.544475e-05
377E5F,38.93734,2.636019e-05,-74.94785,2.438345e-05
37824B,38.93575,2.263653e-05,-74.94570,2.460171e-05
379B89,38.93658,2.566097e-05,-74.94798,3.055592e-05
3B3B89,38.93764,2.522934e-05,-74.94689,2.959078e-05
